name,brand,image,url,rating,total_reviews,category
One Step Original Clear Pad,Cosrx,https://reviews.femaledaily.com/service_review/_next/image?url=https%3A%2F%2Fimage.femaledaily.com%2Fdyn%2F210%2Fimages%2Fprod-pics%2Fproduct_1516342202_Cosrx_One__800x800.jpg&w=3840&q=80,https://reviews.femaledaily.com/products/cleanser/scrub-exfoliator/cosrx/one-step-pimple-clear-set-pad,3.9,1076,Cleanser / Scrub-Exfoliator
UV White Healthy & Glow Body Scrub,Marina,https://reviews.femaledaily.com/service_review/_next/image?url=https%3A%2F%2Fimage.femaledaily.com%2Fdyn%2F210%2Fimages%2Fprod-pics%2Fproduct_1627027352_bodyscrub__800x800.jpg&w=3840&q=80,https://reviews.femaledaily.com/products/bath-shower/scrub-exfoliator-1/marina/marina-body-scrub-uv-white,4.3,1054,Cleanser / Scrub-Exfoliator
Apricot Jam Face Scrub,Emina,https://reviews.femaledaily.com/service_review/_next/image?url=https%3A%2F%2Fimage.femaledaily.com%2Fdyn%2F210%2Fimages%2Fprod-pics%2Fproduct_1500450117_Emina_Ap_800x800.jpg&w=3840&q=80,https://reviews.femaledaily.com/products/cleanser/scrub-exfoliator/emina/apricot-jam-face-scrub-emina,3.8,1042,Cleanser / Scrub-Exfoliator
AHA 7 Whitehead Power Liquid,Cosrx,https://reviews.femaledaily.com/service_review/_next/image?url=https%3A%2F%2Fimage.femaledaily.com%2Fdyn%2F210%2Fimages%2Fprod-pics%2Fproduct_1454990462_cosrx_aha__800x800.jpg&w=3840&q=80,https://reviews.femaledaily.com/products/cleanser/scrub-exfoliator/cosrx/aha-7-whitehead-power-liquid,4.2,1037,Cleanser / Scrub-Exfoliator
BHA Blackhead Power Liquid,Cosrx,https://reviews.femaledaily.com/service_review/_next/image?url=https%3A%2F%2Fimage.femaledaily.com%2Fdyn%2F210%2Fimages%2Fprod-pics%2Fproduct_1454990324_cosrx_BHA__800x800.jpg&w=3840&q=80,https://reviews.femaledaily.com/products/cleanser/scrub-exfoliator/cosrx/bha-blackhead-power-liquid,3.9,983,Cleanser / Scrub-Exfoliator
Radiant Skin Pink Lemon & Mandarin Orange Scrub,St. Ives,https://reviews.femaledaily.com/service_review/_next/image?url=https%3A%2F%2Fimage.femaledaily.com%2Fdyn%2F210%2Fimages%2Fprod-pics%2Fproduct_1571720718_Untitled_d_800x800.jpg&w=3840&q=80,https://reviews.femaledaily.com/products/cleanser/scrub-exfoliator/st-ives/pink-lemon-and-mandarin-orange-scrub,4.2,930,Cleanser / Scrub-Exfoliator
Lulur Mandi,Purbasari,https://reviews.femaledaily.com/service_review/_next/image?url=https%3A%2F%2Fimage.femaledaily.com%2Fdyn%2F210%2Fimages%2Fprod-pics%2Fproduct_1503473225_LM_BENGKOA_800x800.jpg&w=3840&q=80,https://reviews.femaledaily.com/products/bath-shower/scrub-exfoliator-1/purbasari/lulur-mandi-1-bengkoang-brightening,4.2,824,Cleanser / Scrub-Exfoliator
Purifying Neem Scrub,Himalaya,https://reviews.femaledaily.com/service_review/_next/image?url=https%3A%2F%2Fimage.femaledaily.com%2Fdyn%2F210%2Fimages%2Fprod-pics%2Fproduct_1441355912_himalaya_p_800x800.jpg&w=3840&q=80,https://reviews.femaledaily.com/products/cleanser/scrub-exfoliator/himalaya/purifying-neem-scrub,3.7,812,Cleanser / Scrub-Exfoliator
Black Sugar Mask Wash Off,SKINFOOD,https://reviews.femaledaily.com/service_review/_next/image?url=https%3A%2F%2Fimage.femaledaily.com%2Fdyn%2F210%2Fimages%2Fprod-pics%2Fproduct_1650516759_63f927c2_4_800x800.jpg&w=3840&q=80,https://reviews.femaledaily.com/products/cleanser/scrub-exfoliator/skinfood/black-sugar-mask-wash-off-1,3.9,702,Cleanser / Scrub-Exfoliator
ACSBP Acne Cleanser Scrub Beta Plus,ERHA Acneact,https://reviews.femaledaily.com/service_review/_next/image?url=https%3A%2F%2Fimage.femaledaily.com%2Fdyn%2F210%2Fimages%2Fprod-pics%2Fproduct_1689066807_ACSBP_800x800.jpg&w=3840&q=80,https://reviews.femaledaily.com/products/cleanser/scrub-exfoliator/erha-acneact/acne-cleanser-scrub-beta-plus-67,4.1,696,Cleanser / Scrub-Exfoliator
Lulur Tradisional Bali,Herborist,https://reviews.femaledaily.com/service_review/_next/image?url=https%3A%2F%2Fimage.femaledaily.com%2Fdyn%2F210%2Fimages%2Fprod-pics%2Fproduct_1606461732_lulur_milk_800x800.jpg&w=3840&q=80,https://reviews.femaledaily.com/products/bath-shower/scrub-exfoliator-1/herborist/lulur-tradisional-bali,4.3,690,Cleanser / Scrub-Exfoliator
Lightening Gentle Exfoliator,Wardah,https://reviews.femaledaily.com/service_review/_next/image?url=https%3A%2F%2Fimage.femaledaily.com%2Fdyn%2F210%2Fimages%2Fprod-pics%2Fproduct_1594363582_Lightening_800x800.jpg&w=3840&q=80,https://reviews.femaledaily.com/products/cleanser/scrub-exfoliator/wardah/lightening-gentle-exfoliator,3.1,686,Cleanser / Scrub-Exfoliator
Body Scrub,Scarlett,https://reviews.femaledaily.com/service_review/_next/image?url=https%3A%2F%2Fimage.femaledaily.com%2Fdyn%2F210%2Fimages%2Fprod-pics%2Fproduct_1613039229_Body_Scrub_800x800.jpg&w=3840&q=80,https://reviews.femaledaily.com/products/bath-shower/scrub-exfoliator-1/scarlett/body-scrub-24-1,4.2,672,Cleanser / Scrub-Exfoliator
White Expert Deep Exfoliator,Safi,https://reviews.femaledaily.com/service_review/_next/image?url=https%3A%2F%2Fimage.femaledaily.com%2Fdyn%2F210%2Fimages%2Fprod-pics%2Fproduct_1597142824_White_Expe_800x800.jpg&w=3840&q=80,https://reviews.femaledaily.com/products/cleanser/scrub-exfoliator/safi/safi-white-expert-deep-exfoliator,4.4,671,Cleanser / Scrub-Exfoliator
Wine Lift PHA Gauze Peeling,Neogen,https://reviews.femaledaily.com/service_review/_next/image?url=https%3A%2F%2Fimage.femaledaily.com%2Fdyn%2F210%2Fimages%2Fprod-pics%2Fproduct_1628051150_7adccd1f_3_800x800.png&w=3840&q=80,https://reviews.femaledaily.com/products/cleanser/scrub-exfoliator/neogen/bio-peel-gauze-peeling-40,4.5,659,Cleanser / Scrub-Exfoliator
Skin Lightening Body Scrub,Shinzui,https://reviews.femaledaily.com/service_review/_next/image?url=https%3A%2F%2Fimage.femaledaily.com%2Fdyn%2F210%2Fimages%2Fprod-pics%2Fproduct_1601887962_20_scrub_2_800x800.jpg&w=3840&q=80,https://reviews.femaledaily.com/products/bath-shower/scrub-exfoliator-1/shinzui/shinzui-body-scrub,4.3,656,Cleanser / Scrub-Exfoliator
Niacinamide + Moisture Sabi Beet Brightening Serum,Somethinc,https://reviews.femaledaily.com/service_review/_next/image?url=https%3A%2F%2Fimage.femaledaily.com%2Fdyn%2F210%2Fimages%2Fprod-pics%2Fproduct_1674530137_Somethinc__800x800.png&w=3840&q=80,https://reviews.femaledaily.com/products/treatment/serum-essence/somethinc/5-niacinamide-moisture-sabi-beet-serum,4.4,6505,Treatment / Serum & Essence
